"row"	"col"	"value"
"327"	"HC-50-3-TB"	"LP-50-3-T0"	32.1654499488991
"328"	"HP-50-3-TB"	"LP-50-3-T0"	33.8524812724853
"329"	"HP-50-1-TB"	"LP-50-3-T0"	30.145656033616
"330"	"MP-50-3-TB"	"LP-50-3-T0"	33.911622612062
"331"	"CTRL-50-4-TB"	"LP-50-3-T0"	30.3825300394453
"332"	"MC-50-1-TB"	"LP-50-3-T0"	29.0420702340168
"333"	"MC-50-3-TB"	"LP-50-3-T0"	33.8489074259467
"334"	"MC-50-2-TB"	"LP-50-3-T0"	29.7522009784975
"335"	"HP-50-2-TB"	"LP-50-3-T0"	30.3754322879657
"336"	"HC-50-1-TB"	"LP-50-3-T0"	31.9665349491762
"337"	"CTRL-50-3-TB"	"LP-50-3-T0"	32.5083747509621
"338"	"MP-50-1-TB"	"LP-50-3-T0"	31.2839546527274
"339"	"HA-50-3-T3"	"LP-50-3-T0"	42.9262909783683
"340"	"HC-50-2-TB"	"LP-50-3-T0"	30.1876113782174
"341"	"HP-50-2-TE"	"LP-50-3-T0"	35.2060620783242
"342"	"MC-50-3-TE"	"LP-50-3-T0"	33.4066437954334
"343"	"LP-50-1-T0"	"LP-50-3-T0"	35.5599928978728
"344"	"LA-50-2-T0"	"LP-50-3-T0"	34.4622570358611
"345"	"HA-50-1-T0"	"LP-50-3-T0"	35.011321952588
"346"	"CTRL-50-1-T0"	"LP-50-3-T0"	40.9769179498592
"347"	"MN-50-1-T0"	"LP-50-3-T0"	45.7283092650538
"348"	"MN-50-2-T0"	"LP-50-3-T0"	41.7838451663292
"349"	"CTRL-50-3-T0"	"LP-50-3-T0"	33.0704554769838
"350"	"HP-50-1-T0"	"LP-50-3-T0"	33.2502423652432
"351"	"LC-50-3-T0"	"LP-50-3-T0"	39.4432530525217
"352"	"CTRL-50-2-T0"	"LP-50-3-T0"	41.305977434229
"353"	"LA-50-3-T4"	"LP-50-3-T0"	39.4218439496442
"354"	"HN-50-3-T4"	"LP-50-3-T0"	46.8124491076767
"355"	"HN-50-1-T1"	"LP-50-3-T0"	37.6736667503061
"356"	"LA-50-1-T1"	"LP-50-3-T0"	37.574568451922
"357"	"MA-50-1-T4"	"LP-50-3-T0"	35.5621141484896
"358"	"HN-50-3-T1"	"LP-50-3-T0"	36.2102023397764
"359"	"LA-50-2-T1"	"LP-50-3-T0"	33.6561022183962
"360"	"MN-50-3-T1"	"LP-50-3-T0"	44.7057426975635
"361"	"MN-50-1-T1"	"LP-50-3-T0"	44.8991443835876
"362"	"HA-50-1-T1"	"LP-50-3-T0"	38.0366554923239
"363"	"HA-50-2-T1"	"LP-50-3-T0"	32.2184513535044
"364"	"HA-50-2-T2"	"LP-50-3-T0"	38.5848760614485
"365"	"HA-50-3-T2"	"LP-50-3-T0"	33.5413813063721
"366"	"HN-50-1-T2"	"LP-50-3-T0"	38.2368482963315
"367"	"LN-50-2-T2"	"LP-50-3-T0"	32.2209461672422
"368"	"CTRL-50-2-T0-2"	"LP-50-3-T0"	34.4360144943576
"369"	"MA-50-1-T2"	"LP-50-3-T0"	31.5752175557918
"370"	"MC-50-2-T0"	"LP-50-3-T0"	35.8442913481587
"371"	"LA-50-2-T2"	"LP-50-3-T0"	35.6152489583733
"372"	"LC-50-1-T0"	"LP-50-3-T0"	32.6331631120371
"373"	"MN-50-2-T2"	"LP-50-3-T0"	34.3795077688409
"374"	"HP-50-2-T0"	"LP-50-3-T0"	32.5329262487602
"375"	"LA-50-3-T3"	"LP-50-3-T0"	36.9244205298482
"376"	"CTRL-50-4-T0"	"LP-50-3-T0"	37.2629170268615
"377"	"MN-50-1-T3"	"LP-50-3-T0"	32.1552746087138
"378"	"MA-50-1-T1"	"LP-50-3-T0"	38.9913427143701
"379"	"HN-50-2-T3"	"LP-50-3-T0"	41.6137197577388
"380"	"MN-50-3-T2-2"	"LP-50-3-T0"	39.9672466072253
"381"	"MA-50-1-T3"	"LP-50-3-T0"	31.0754087014002
"382"	"HN-50-1-T3"	"LP-50-3-T0"	30.0025245274565
"383"	"LA-50-2-T3"	"LP-50-3-T0"	34.0447867997522
"384"	"LA-50-1-T3"	"LP-50-3-T0"	35.7708475539007
"385"	"HN-50-1-T4"	"LP-50-3-T0"	33.3159923706212
"386"	"HA-50-1-T4-2"	"LP-50-3-T0"	42.9774732671561
