"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"MN-50-3-T1",39,0.826356928921032,2.66211264881536,"MN-50-3-T1","Susceptible",3,"LN","3","LN3","50_LN","50_N","MN-50-3","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"MN-50-1-T1",84,0.96711877338658,3.94488042233896,"MN-50-1-T1","Susceptible",1,"LN","3","LN3","50_LN","50_N","MN-50-1","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"HA-50-1-T1",9,0.692786584524476,1.58179663932877,"HA-50-1-T1","Susceptible",1,"HA","3","HA3","50_HA","50_A","HA-50-1","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"HA-50-2-T1",28,0.954391603964253,3.1820281987689,"HA-50-2-T1","Susceptible",2,"HA","3","HA3","50_HA","50_A","HA-50-2","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"HA-50-2-T2",8,0.559394810107061,1.19309391590967,"HA-50-2-T2","Susceptible",2,"HA","6","HA6","50_HA","50_A","HA-50-2","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HA-50-3-T2",21,0.83315882176281,2.35857974034136,"HA-50-3-T2","Susceptible",3,"HA","3","HA3","50_HA","50_A","HA-50-3","HA","HA3",7,"Ammonium","50_3","Ammonium","H","A3","A3","N"
"HN-50-1-T2",5,0.51549906250761,0.976556825777096,"HN-50-1-T2","Susceptible",1,"HN","3","HN3","50_HN","50_N","HN-50-1","HN","HN3",5,"Nitrate","50_3","Nitrate","H","N3","N3","N"
"LN-50-2-T2",32,0.871145526416182,2.75074998824049,"LN-50-2-T2","Susceptible",2,"LN","3","LN3","50_LN","50_N","LN-50-2","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"CTRL-50-2-T0-2",29,0.714166281117848,2.01448100179533,"CTRL-50-2-T0-2","Susceptible",2,"NT","3","NT3","50_NT","50_NT","CTRL-50-2","NT","NT3",1,"No Treatment","50_3","No Treatment","0","NT3","NT3","N"
"MA-50-1-T2",25,0.721666220241719,2.05297866487079,"MA-50-1-T2","Susceptible",1,"LA","6","LA6","50_LA","50_A","MA-50-1","LA","LA6",6,"Ammonium","50_6","Ammonium","L","A6","A6","N"
