SampleID	Genotype	Phenotype	Rep	Nutrient	Exposure_weeks	Nutrient_weeks	Nutrient_geno	Nutrient_merged_geno	Tank	T0_merge	NW_T0_merge	Nutrient_order	Nutrient_no_level	Geno_weeks	No_level_no_T0	Level	No_level_weeks	No_level_weeks_noT0	outlier
LA-50-1-T3	50	Susceptible	1	NT	6	NT6	50_NT	50_NT	LA-50-1	NT	NT6	1	No Treatment	50_6	No Treatment	0	NT6	NT6	N
LA-50-1-T4	50	Susceptible	1	NT	6	NT6	50_NT	50_NT	LA-50-1	NT	NT6	1	No Treatment	50_6	No Treatment	0	NT6	NT6	N
LN-50-1-T0	50	Susceptible	1	NT	0	NT0	50_T0	50_T0	LN-50-1	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
HA-50-3-T1	50	Susceptible	3	HA	3	HA3	50_HA	50_A	HA-50-3	HA	HA3	7	Ammonium	50_3	Ammonium	H	A3	A3	N
HA-50-1-T4	50	Susceptible	1	HA	6	HA6	50_HA	50_A	HA-50-1	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HA-50-3-T4	50	Susceptible	3	HA	6	HA6	50_HA	50_A	HA-50-3	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HA-50-1-T0	50	Susceptible	1	HA	0	HA0	50_T0	50_T0	HA-50-1	T0	T0	7	T0	50_0	Ammonium	0	T0	A0	N
HA-50-1-T1	50	Susceptible	1	HA	3	HA3	50_HA	50_A	HA-50-1	HA	HA3	7	Ammonium	50_3	Ammonium	H	A3	A3	N
HA-50-2-T1	50	Susceptible	2	HA	3	HA3	50_HA	50_A	HA-50-2	HA	HA3	7	Ammonium	50_3	Ammonium	H	A3	A3	N
HA-50-2-T2	50	Susceptible	2	HA	6	HA6	50_HA	50_A	HA-50-2	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HA-50-3-T2	50	Susceptible	3	HA	3	HA3	50_HA	50_A	HA-50-3	HA	HA3	7	Ammonium	50_3	Ammonium	H	A3	A3	N
LA-50-3-T3	50	Susceptible	3	HA	3	HA3	50_HA	50_A	LA-50-3	HA	HA3	7	Ammonium	50_3	Ammonium	H	A3	A3	N
HA-50-2-T3	50	Susceptible	2	HA	6	HA6	50_HA	50_A	HA-50-2	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HA-50-1-T4-2	50	Susceptible	1	HA	6	HA6	50_HA	50_A	HA-50-1	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HA-50-2-T4	50	Susceptible	2	HA	6	HA6	50_HA	50_A	HA-50-2	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HA-50-1-T2	50	Susceptible	1	HA	6	HA6	50_HA	50_A	HA-50-1	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
HC-50-3-TB	50	Susceptible	3	HC	0	HC0	50_T0	50_T0	HC-50-3	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
HC-50-1-TB	50	Susceptible	1	HC	0	HC0	50_T0	50_T0	HC-50-1	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
HC-50-2-TB	50	Susceptible	2	HC	0	HC0	50_T0	50_T0	HC-50-2	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
LC-50-3-T0	50	Susceptible	3	HC	0	HC0	50_T0	50_T0	LC-50-3	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
HC-50-1-TX	50	Susceptible	1	HC	6	HC6	50_HC	50_C	HC-50-1	HC	HC6	9	Combined	50_6	Combined	H	C6	C6	N
HN-50-2-T1	50	Susceptible	2	HN	6	HN6	50_HN	50_N	HN-50-2	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
HN-50-1-T1	50	Susceptible	1	HN	3	HN3	50_HN	50_N	HN-50-1	HN	HN3	5	Nitrate	50_3	Nitrate	H	N3	N3	N
HN-50-3-T1	50	Susceptible	3	HN	3	HN3	50_HN	50_N	HN-50-3	HN	HN3	5	Nitrate	50_3	Nitrate	H	N3	N3	N
HN-50-1-T2	50	Susceptible	1	HN	3	HN3	50_HN	50_N	HN-50-1	HN	HN3	5	Nitrate	50_3	Nitrate	H	N3	N3	N
HN-50-2-T3	50	Susceptible	2	HN	3	HN3	50_HN	50_N	HN-50-2	HN	HN3	5	Nitrate	50_3	Nitrate	H	N3	N3	N
HN-50-1-T3	50	Susceptible	1	HN	6	HN6	50_HN	50_N	HN-50-1	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
LN-50-3-T3	50	Susceptible	3	HN	6	HN6	50_HN	50_N	LN-50-3	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
HN-50-1-T4	50	Susceptible	1	HN	6	HN6	50_HN	50_N	HN-50-1	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
HN-50-3-T2	50	Susceptible	3	HN	6	HN6	50_HN	50_N	HN-50-3	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
HP-50-3-TB	50	Susceptible	3	HP	0	HP0	50_T0	50_T0	HP-50-3	T0	T0	3	T0	50_0	Phosphate	0	T0	P0	N
HP-50-1-TB	50	Susceptible	1	HP	0	HP0	50_T0	50_T0	HP-50-1	T0	T0	3	T0	50_0	Phosphate	0	T0	P0	N
HP-50-2-TB	50	Susceptible	2	HP	0	HP0	50_T0	50_T0	HP-50-2	T0	T0	3	T0	50_0	Phosphate	0	T0	P0	N
HP-50-2-TE	50	Susceptible	2	HP	6	HP6	50_HP	50_P	HP-50-2	HP	HP6	3	Phosphate	50_6	Phosphate	H	P6	P6	N
HP-50-1-T0	50	Susceptible	1	HP	0	HP0	50_T0	50_T0	HP-50-1	T0	T0	3	T0	50_0	Phosphate	0	T0	P0	N
HP-50-1-TX	50	Susceptible	1	HP	6	HP6	50_HP	50_P	HP-50-1	HP	HP6	3	Phosphate	50_6	Phosphate	H	P6	P6	N
HP-50-2-TX	50	Susceptible	2	HP	6	HP6	50_HP	50_P	HP-50-2	HP	HP6	3	Phosphate	50_6	Phosphate	H	P6	P6	N
MA-50-2-T1	50	Susceptible	2	LA	3	LA3	50_LA	50_A	MA-50-2	LA	LA3	6	Ammonium	50_3	Ammonium	L	A3	A3	N
MA-50-3-T3	50	Susceptible	3	LA	3	LA3	50_LA	50_A	MA-50-3	LA	LA3	6	Ammonium	50_3	Ammonium	L	A3	A3	N
LA-50-2-T0	50	Susceptible	2	LA	0	LA0	50_T0	50_T0	LA-50-2	T0	T0	6	T0	50_0	Ammonium	0	T0	A0	N
LA-50-2-T1	50	Susceptible	2	LA	6	LA6	50_LA	50_A	LA-50-2	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
MA-50-1-T2	50	Susceptible	1	LA	6	LA6	50_LA	50_A	MA-50-1	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
LA-50-2-T2	50	Susceptible	2	LA	6	LA6	50_LA	50_A	LA-50-2	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
MA-50-1-T3	50	Susceptible	1	LA	6	LA6	50_LA	50_A	MA-50-1	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
LA-50-2-T3	50	Susceptible	2	LA	6	LA6	50_LA	50_A	LA-50-2	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
MA-50-3-T4	50	Susceptible	3	LA	6	LA6	50_LA	50_A	MA-50-3	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
MA-50-2-T4	50	Susceptible	2	LA	6	LA6	50_LA	50_A	MA-50-2	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
LA-50-2-T4	50	Susceptible	2	LA	6	LA6	50_LA	50_A	LA-50-2	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
MC-50-1-TB	50	Susceptible	1	LC	0	LC0	50_T0	50_T0	MC-50-1	T0	T0	8	T0	50_0	Combined	0	T0	C0	N
MC-50-3-TB	50	Susceptible	3	LC	0	LC0	50_T0	50_T0	MC-50-3	T0	T0	8	T0	50_0	Combined	0	T0	C0	N
